AIRPORT,ARPT
CENTRAL,CTRL
COUNTY,CNTY
CENTERS,CTR
CENTRE,CTR
CENTRES,CTR
CENTER,CTR
CENT ER,CTR
CNTRS,CTR
CNTR,CTR
GALLERY,GALR
FIELDS,FLD
FIELD,FLD
FLDS,FLD
FORTS,FT
FORT,FT
HARBOR,HBR
HEIGHTS,HTS
HEIGHT,HTS
HGTS,HTS
HGHTS,HTS
HOSPITAL,HOSP
INT L,INTL
INTERNATIONAL,INTL
INTERNATL,INTL
I NTERNATL,INTL
INDUSTRIES,IND
INDS,IND
INDUSTRIAL,IND
INDL,IND
LDG,LDGE
LODGE,LDGE
MEADOWS,MDWS
MNT,MT
MOUNT,MT
MOUNTAIN,MTN
MOUNTAINS,MTN
MTNS,MTN
NATIONAL,NATL
NAITONAL,NATL
NATINAL,NATL
PLAZA,PLZ
PLZA,PLZ
PROFESSIONAL,PROF
REGIONAL,REG
RIVER,RIV
SAINT,ST
SAINTE,ST
SERVICES,SVC
SERVICE,SVC
SER VICES,SVC
SERV,SVC
SVCS,SVC
SHOPPING MALL,MALL
SHOP MALL,MALL
UNIVERSITY,UNIV
