ZERO,0
ONE,1
TWO,2
THREE,3
FOUR,4
FIVE,5
SIX,6
SEVEN,7
EIGHT,8
NINE,9
TEN,10
ELEVEN,11
TWELVE,12
THIRTEEN,13
FOURTEEN,14
FIFTEEN,15
SIXTEEN,16
SEVENTEEN,17
EIGHTEEN,18
NINETEEN,19
TWENTY,20
THIRTY,30
FORTY,40
FIFTY,50
SIXTY,60
SEVENTY,70
EIGHTY,80
NINETY,90
FIRST,1ST
SECOND,2ND
THIRD,3RD
FOURTH,4TH
FIFTH,5TH
SIXTH,6TH
SEVENTH,7TH
EIGHTH,8TH
NINTH,9TH
TENTH,10TH
ELEVENTH,11TH
TWELFTH,12TH
THIRTEENTH,13TH
FOURTEENTH,14TH
FIFTEENTH,15TH
SIXTEENTH,16TH
SEVENTEENTH,17TH
EIGHTEENTH,18TH
TWENTIETH,20TH
THIRTIETH,30TH
FORTIETH,40TH
FIFTIETH,50TH
SIXTIETH,60TH
SEVENTIETH,70TH
EIGHTIETH,80TH
NINETIETH,90TH
